dimensions,rock_chance,grass_grow_back,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,NA_fraction_mice,NA_fraction_owls
10,0,2,True,True,50,2,2,0,0,0,0,0,20,True,500,,,0,0,6,1.0,1.0
10,0,2,True,True,50,2,3,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,2,True,True,50,2,4,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,2,True,True,50,2,5,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,2,True,True,50,3,2,0,0,0,0,0,20,True,500,48.8,,5,0,5,0.0,1.0
10,0,2,True,True,50,3,3,0,0,0,0,0,20,True,500,53.8,,5,0,5,0.0,1.0
10,0,2,True,True,50,3,4,0,0,0,0,0,20,True,500,46.0,,5,0,5,0.0,1.0
10,0,2,True,True,50,3,5,0,0,0,0,0,20,True,500,50.6,,5,0,5,0.0,1.0
10,0,2,True,True,50,4,2,0,0,0,0,0,20,True,500,66.8,,5,0,5,0.0,1.0
10,0,2,True,True,50,4,3,0,0,0,0,0,20,True,500,59.2,,5,0,5,0.0,1.0
10,0,2,True,True,50,4,4,0,0,0,0,0,20,True,500,57.4,,5,0,5,0.0,1.0
10,0,2,True,True,50,4,5,0,0,0,0,0,20,True,500,57.8,,5,0,5,0.0,1.0
10,0,2,True,True,50,5,2,0,0,0,0,0,20,True,500,53.6,,5,0,5,0.0,1.0
10,0,2,True,True,50,5,3,0,0,0,0,0,20,True,500,51.4,,5,0,5,0.0,1.0
10,0,2,True,True,50,5,4,0,0,0,0,0,20,True,500,51.8,,5,0,5,0.0,1.0
10,0,2,True,True,50,5,5,0,0,0,0,0,20,True,500,49.6,,5,0,5,0.0,1.0
10,0,3,True,True,50,2,2,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,3,True,True,50,2,3,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,3,True,True,50,2,4,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,3,True,True,50,2,5,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,3,True,True,50,3,2,0,0,0,0,0,20,True,500,51.6,,5,0,5,0.0,1.0
10,0,3,True,True,50,3,3,0,0,0,0,0,20,True,500,52.8,,5,0,5,0.0,1.0
10,0,3,True,True,50,3,4,0,0,0,0,0,20,True,500,49.2,,5,0,5,0.0,1.0
10,0,3,True,True,50,3,5,0,0,0,0,0,20,True,500,53.4,,5,0,5,0.0,1.0
10,0,3,True,True,50,4,2,0,0,0,0,0,20,True,500,61.2,,5,0,5,0.0,1.0
10,0,3,True,True,50,4,3,0,0,0,0,0,20,True,500,42.6,,5,0,5,0.0,1.0
10,0,3,True,True,50,4,4,0,0,0,0,0,20,True,500,50.4,,5,0,5,0.0,1.0
10,0,3,True,True,50,4,5,0,0,0,0,0,20,True,500,54.0,,5,0,5,0.0,1.0
10,0,3,True,True,50,5,2,0,0,0,0,0,20,True,500,48.6,,5,0,5,0.0,1.0
10,0,3,True,True,50,5,3,0,0,0,0,0,20,True,500,49.8,,5,0,5,0.0,1.0
10,0,3,True,True,50,5,4,0,0,0,0,0,20,True,500,51.0,,5,0,5,0.0,1.0
10,0,3,True,True,50,5,5,0,0,0,0,0,20,True,500,48.6,,5,0,5,0.0,1.0
10,0,4,True,True,50,2,2,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,4,True,True,50,2,3,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,4,True,True,50,2,4,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,4,True,True,50,2,5,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,4,True,True,50,3,2,0,0,0,0,0,20,True,500,53.6,,5,0,5,0.0,1.0
10,0,4,True,True,50,3,3,0,0,0,0,0,20,True,500,55.0,,5,0,5,0.0,1.0
10,0,4,True,True,50,3,4,0,0,0,0,0,20,True,500,53.4,,5,0,5,0.0,1.0
10,0,4,True,True,50,3,5,0,0,0,0,0,20,True,500,50.2,,5,0,5,0.0,1.0
10,0,4,True,True,50,4,2,0,0,0,0,0,20,True,500,65.4,,5,0,5,0.0,1.0
10,0,4,True,True,50,4,3,0,0,0,0,0,20,True,500,42.0,,3,0,5,0.4,1.0
10,0,4,True,True,50,4,4,0,0,0,0,0,20,True,500,38.6,,5,0,5,0.0,1.0
10,0,4,True,True,50,4,5,0,0,0,0,0,20,True,500,63.0,,2,0,5,0.6,1.0
10,0,4,True,True,50,5,2,0,0,0,0,0,20,True,500,50.2,,5,0,5,0.0,1.0
10,0,4,True,True,50,5,3,0,0,0,0,0,20,True,500,50.4,,5,0,5,0.0,1.0
10,0,4,True,True,50,5,4,0,0,0,0,0,20,True,500,50.0,,5,0,5,0.0,1.0
10,0,4,True,True,50,5,5,0,0,0,0,0,20,True,500,56.0,,5,0,5,0.0,1.0
10,0,5,True,True,50,2,2,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,5,True,True,50,2,3,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,5,True,True,50,2,4,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,5,True,True,50,2,5,0,0,0,0,0,20,True,500,,,0,0,5,1.0,1.0
10,0,5,True,True,50,3,2,0,0,0,0,0,20,True,500,51.6,,5,0,5,0.0,1.0
10,0,5,True,True,50,3,3,0,0,0,0,0,20,True,500,49.6,,5,0,5,0.0,1.0
10,0,5,True,True,50,3,4,0,0,0,0,0,20,True,500,52.4,,5,0,5,0.0,1.0
10,0,5,True,True,50,3,5,0,0,0,0,0,20,True,500,53.6,,5,0,5,0.0,1.0
10,0,5,True,True,50,4,2,0,0,0,0,0,20,True,500,55.75,,4,0,5,0.2,1.0
10,0,5,True,True,50,4,3,0,0,0,0,0,20,True,500,50.0,,2,0,5,0.6,1.0
10,0,5,True,True,50,4,4,0,0,0,0,0,20,True,500,63.0,,2,0,5,0.6,1.0
10,0,5,True,True,50,4,5,0,0,0,0,0,20,True,500,76.0,,3,0,5,0.4,1.0
10,0,5,True,True,50,5,2,0,0,0,0,0,20,True,500,51.0,,5,0,5,0.0,1.0
10,0,5,True,True,50,5,3,0,0,0,0,0,20,True,500,57.4,,5,0,5,0.0,1.0
10,0,5,True,True,50,5,4,0,0,0,0,0,20,True,500,51.4,,5,0,5,0.0,1.0
10,0,5,True,True,50,5,5,0,0,0,0,0,20,True,500,50.4,,5,0,5,0.0,1.0
